year,continent,ccode,name,electricandheat,manufacturingandconstructing,transportation,fuelcombustion,fugitive,totalCO2
1992,Africa,SLE,Sierra Leone,,,,,0.00,0.00
1992,Africa,ZAF,South Africa,144.74,56.35,29.76,14.52,0.00,245.37
1992,Africa,SWZ,Swaziland,,,,,0.00,0.00
1992,Africa,TZA,Tanzania,0.29,0.39,0.68,0.31,0.00,1.67
1992,Africa,TGO,Togo,0.04,0.01,0.27,0.05,0.00,0.37
1992,Africa,TUN,Tunisia,4.62,3.36,2.61,2.56,0.02,13.17
1992,Africa,UGA,Uganda,,,,,0.00,0.00
1992,Africa,ZMB,Zambia,0.17,1.40,0.92,0.25,0.00,2.74
1992,Africa,ZWE,Zimbabwe,8.65,4.53,2.19,2.42,0.00,17.79
1992,Asia,AFG,Afghanistan,,,,,0.02,0.02
1992,Asia,BHR,Bahrain,10.96,1.70,1.11,0.15,0.00,13.92
1992,Asia,BGD,Bangladesh,5.18,3.76,2.09,2.92,0.00,13.95
1992,Asia,BTN,Bhutan,,,,,0.00,0.00
1992,Asia,BRN,Brunei,2.70,0.18,0.65,0.05,0.00,3.58
1992,Asia,KHM,Cambodia,,,,,0.00,0.00
1992,Asia,CHN,China,863.21,1010.09,127.10,461.63,0.00,2462.03
1992,Asia,IND,India,308.86,180.59,68.52,94.37,9.75,662.09
1992,Asia,IDN,Indonesia,55.89,47.43,37.53,25.77,11.74,178.36
1992,Asia,IRN,Iran,45.47,55.06,43.70,70.83,20.75,235.81
1992,Asia,IRQ,Iraq,29.55,9.34,24.08,4.74,0.18,67.89
1992,Asia,ISR,Israel,22.51,2.92,6.96,3.99,0.00,36.38
1992,Asia,JPN,Japan,421.85,265.90,225.17,161.22,0.00,1074.14
1992,Asia,JOR,Jordan,4.53,1.32,2.64,2.23,0.00,10.72
1992,Asia,KAZ,Kazakhstan,110.03,92.82,15.67,35.69,0.73,254.94
1992,Asia,PRK,"Korea, Dem. Rep. (North)",13.55,63.01,3.35,15.60,0.00,95.51
1992,Asia,KOR,"Korea, Rep. (South)",85.62,68.61,53.95,68.74,0.00,276.92
1992,Asia,KWT,Kuwait,11.96,6.77,4.49,0.26,0.91,24.39
1992,Asia,KGZ,Kyrgyzstan,2.69,3.32,2.68,4.46,0.00,13.15
1992,Asia,LAO,Laos,,,,,0.00,0.00
1992,Asia,LBN,Lebanon,2.59,0.40,3.20,0.70,0.00,6.89
1992,Asia,MWI,Malawi,,,,,0.00,0.00
1992,Asia,MYS,Malaysia,25.93,19.24,16.13,3.33,2.67,67.30
1992,Asia,MDV,Maldives,,,,,0.00,0.00
1992,Asia,MNG,Mongolia,7.86,2.62,0.88,1.24,0.00,12.60
1992,Asia,MMR,Myanmar,1.71,1.21,1.03,0.21,0.01,4.17
1992,Asia,NPL,Nepal,0.04,0.14,0.43,0.50,0.00,1.11
1992,Asia,OMN,Oman,6.05,4.64,1.93,0.69,1.13,14.44
1992,Asia,PAK,Pakistan,19.79,20.82,15.94,8.47,0.00,65.02
1992,Asia,PHL,Philippines,12.79,8.53,15.71,3.61,0.00,40.64
1992,Asia,QAT,Qatar,9.32,5.45,1.57,0.10,0.00,16.44
1992,Asia,RUS,Russian Federation,1205.18,249.42,278.22,256.99,19.36,2009.17
1992,Asia,SAU,Saudi Arabia,81.28,33.72,53.97,2.68,21.30,192.95
1992,Asia,SGP,Singapore,25.58,1.53,4.71,0.72,0.00,32.54
1992,Asia,LKA,Sri Lanka,0.79,0.59,2.77,0.72,0.00,4.87
1992,Asia,SDN,Sudan,0.50,0.89,3.09,0.16,0.00,4.64
1992,Asia,SYR,Syria,8.35,5.29,7.08,8.71,1.61,31.04
1992,Asia,TJK,Tajikistan,1.68,0.00,0.36,5.38,0.00,7.42
1992,Asia,THA,Thailand,40.10,19.47,29.70,8.47,0.00,97.74
1992,Asia,TUR,Turkey,43.66,34.58,27.03,29.30,0.03,134.60
1992,Asia,TKM,Turkmenistan,6.06,1.16,5.99,14.40,0.00,27.61
1992,Asia,ARE,United Arab Emirates,14.86,29.80,11.68,0.27,1.53,58.14
1992,Asia,UZB,Uzbekistan,47.88,3.78,6.60,55.88,0.00,114.14
1992,Asia,VNM,Vietnam,3.00,7.51,4.37,3.40,0.00,18.28
1992,Asia,YEM,Yemen,2.26,0.00,5.35,1.09,0.00,8.70
1992,Europe,ALB,Albania,0.42,1.34,0.40,0.56,0.00,2.72
1992,Europe,ARM,Armenia,4.82,1.49,1.81,2.56,0.00,10.68
1992,Europe,AUT,Austria,17.38,9.67,15.01,13.57,0.00,55.63
1992,Europe,AZE,Azerbaijan,22.96,11.80,4.01,6.26,1.80,46.83
1992,Europe,BLR,Belarus,54.52,18.28,11.21,15.21,0.00,99.22
1992,Europe,BEL,Belgium,30.75,30.17,21.89,29.44,0.00,112.25
1992,Europe,BIH,Bosnia & Herzegovina,6.76,3.60,1.05,4.23,0.00,15.64
1992,Europe,BGR,Bulgaria,37.16,8.12,3.77,5.11,0.00,54.16
1992,Europe,HRV,Croatia,6.21,3.85,2.83,2.29,0.00,15.18
1992,Europe,CYP,Cyprus,2.11,1.11,1.29,0.21,0.00,4.72
1992,Europe,CZE,Czech Republic,63.06,40.38,8.16,19.12,,130.72
1992,Europe,DNK,Denmark,30.18,5.78,10.80,8.18,0.47,55.41
1992,Europe,EST,Estonia,19.07,2.10,1.08,1.26,0.00,23.51
1992,Europe,FIN,Finland,18.99,14.88,11.24,8.54,0.00,53.65
1992,Europe,FRA,France,63.71,82.36,118.76,103.63,0.00,368.46
1992,Europe,GEO,Georgia,8.74,4.14,2.36,4.65,0.00,19.89
1992,Europe,DEU,Germany,383.75,145.92,162.79,194.07,0.70,887.23
1992,Europe,GRC,Greece,38.33,9.34,16.23,7.93,0.01,71.84
1992,Europe,HUN,Hungary,24.35,10.61,7.04,15.79,0.00,57.79
1992,Europe,ISL,Iceland,0.00,0.46,0.63,0.79,0.00,1.88
1992,Europe,IRL,Ireland,12.01,4.48,5.49,9.28,0.00,31.26
1992,Europe,ITA,Italy,137.67,78.12,102.42,77.04,0.00,395.25
1992,Europe,JAM,Jamaica,3.58,2.88,1.06,0.31,0.00,7.83
1992,Europe,LVA,Latvia,7.00,1.57,2.46,2.70,0.00,13.73
1992,Europe,LTU,Lithuania,8.62,3.64,3.99,3.50,0.00,19.75
1992,Europe,LUX,Luxembourg,1.61,4.06,3.41,1.49,0.00,10.57
